swadesh.language,swadesh.english,HScollapsed,poabodypartmerge,swadesh.twohands,swadesh.pmv
Lithuanian,new,y4,Hand,false,Y_up
Lithuanian,night,y4,Head,true,Y_down
Lithuanian,not,n4,Vertical,false,X_right
Lithuanian,old,y0,Head,false,Y_down
Lithuanian,other,n1,Vertical,false,UNDEF
Lithuanian,person,y1,Horizontal,false,Y_down
Lithuanian,pig,n1,Hand,false,Z_back
Lithuanian,play,y4,Horizontal,true,Y_up
Lithuanian,rain,y1,Horizontal,true,UNDEF
Lithuanian,red,n1,Head,false,UNDEF
Lithuanian,river,y1,Horizontal,false,X_left
Lithuanian,salt,y4,Horizontal,false,Z_back
Lithuanian,sea,y1,Vertical,false,Y_down
Lithuanian,sharp,n4,Head,false,Y_down
Lithuanian,short,y4,Horizontal,true,UNDEF
Lithuanian,singing,n1,Vertical,true,X_left
Lithuanian,sister,n1,Lateral,true,Z_front
Lithuanian,sit,n2,Horizontal,false,Y_down
Lithuanian,smooth,n4,Hand,false,Z_front
Lithuanian,snake,n2,Head,false,Z_front
Lithuanian,snow,y4,Vertical,true,Y_down
Lithuanian,stand,y4,Horizontal,true,Y_down
Lithuanian,star,n1,Vertical,true,X_right
Lithuanian,stone,y0,Lateral,true,X_left
Lithuanian,string,n1,Lateral,true,X_right
Lithuanian,sun,y4,Head,false,X_left
Lithuanian,tail,n1,Hand,false,UNDEF
Lithuanian,thin,n1,Vertical,false,Y_down
Lithuanian,tree,y4,Hand,false,UNDEF
Lithuanian,vomit,y2,Head,false,Y_down
Lithuanian,warm,n4,Head,false,X_right
Lithuanian,water,y4,Head,false,UNDEF
Lithuanian,wet,y4,Lateral,true,X_right
Lithuanian,what,n2,Vertical,false,UNDEF
Lithuanian,when,y4,Head,false,UNDEF
Lithuanian,where,y1,Horizontal,false,Z_back
Lithuanian,white,n4,Hand,false,UNDEF
Lithuanian,who,n2,Vertical,false,UNDEF
Lithuanian,wide,y4,Lateral,true,X_right
Lithuanian,wife,y1,Hand,false,X_left
Lithuanian,wind,n0,Head,false,X_right
Lithuanian,with,y4,Lateral,true,X_left
Lithuanian,woman,n4,Head,false,Z_back
Lithuanian,wood,n4,Arm,false,Z_back
Lithuanian,work,n2,Hand,false,Y_down
Lithuanian,worm,y1,Horizontal,false,Z_front
Lithuanian,year,y0,Lateral,true,Y_up
Lithuanian,yellow,n1,Head,false,UNDEF
Czech,all,y4,Lateral,true,Y_down
Czech,animal,y1,Head,true,Z_front
Czech,bad,n4,Head,false,UNDEF
Czech,because,y1,Lateral,true,X_right
Czech,bird,y1,Head,false,UNDEF
Czech,black,y4,Vertical,true,Y_down
Czech,blood,n1,Head,false,Z_back
Czech,boring,y4,Head,false,Z_back
Czech,brother,n4,Head,false,Z_back
Czech,bug,n1,Hand,false,Y_down
Czech,cat,y1,Head,true,X_right
Czech,child,n4,Horizontal,false,X_left
Czech,correct,n2,Hand,false,Z_front
Czech,count,y0,Vertical,true,Y_down
Czech,dance,n1,Horizontal,true,Z_front
Czech,day,y1,Horizontal,false,X_right
Czech,die,y4,Hand,true,Z_back
Czech,dirty,y4,Hand,false,Z_back
Czech,dog,y4,Head,false,Y_down
Czech,dry,y0,Lateral,true,X_left
Czech,dust,y4,Horizontal,true,UNDEF
Czech,earth,n0,Hand,false,UNDEF
Czech,egg,y1,Head,false,UNDEF
Czech,father,y1,Head,false,Y_down
Czech,feather,y1,Lateral,true,X_right
Czech,fire,y4,Horizontal,true,Y_up
Czech,fish,y4,Horizontal,true,UNDEF
Czech,flower,y4,Head,false,Y_up
Czech,full,n2,Hand,false,Z_front
Czech,good,y1,Horizontal,false,Z_front
Czech,grass,n1,Hand,false,Y_down
Czech,grease,n4,Hand,false,Z_back
Czech,green,n1,Head,false,X_left
Czech,heavy,n0,Horizontal,true,Y_up
Czech,how,y1,Head,false,Z_back
Czech,husband,y4,Horizontal,true,Y_down
Czech,ice,n4,Hand,false,X_right
Czech,if,y1,Head,false,Y_down
Czech,kill,y1,Hand,false,Y_down
Czech,laugh,n2,Head,false,X_left
Czech,leaf,y1,Hand,false,X_right
Czech,lie,n4,Head,false,Z_back
Czech,live,y4,Head,false,Z_back
Czech,long,n1,Lateral,true,X_right
Czech,look_for,n2,Lateral,true,Y_up
Czech,man,n4,Head,false,X_left
Czech,meat,y1,Vertical,true,Z_front
Czech,moon,y0,Vertical,false,Y_down
Czech,mother,n1,Head,false,X_left
Czech,mountain,y1,Vertical,false,Y_up
Czech,name,y0,Head,false,X_left
Czech,narrow,y4,Lateral,true,X_left
Czech,new,n4,Hand,false,Y_up
Czech,night,y4,Vertical,true,Y_down
Czech,not,n1,Hand,false,Z_back
Czech,old,n4,Hand,false,Z_back
Czech,other,n1,Vertical,false,Z_front
Czech,person,n1,Torso,false,Z_back
Czech,pig,y4,Lateral,true,X_right
Czech,play,y4,Horizontal,true,Y_up
Czech,rain,y4,Horizontal,true,UNDEF
Czech,red,n1,Head,false,X_right
Czech,river,n4,Head,false,X_right
Czech,salt,y4,Head,false,UNDEF
